grid_cell,grid_lat,grid_lon,n_events,weighted,high_sev,active_days,zone,cum_share
"12.9393,77.56919",12.939299,77.569188,45,90,0,21,Basavanagudi,0.9043
"12.95512,77.71679",12.955125,77.71679,39,90,12,26,Whitefield,0.9044
"13.00034,77.61301",13.000344,77.613007,45,90,0,18,Pulikeshinagar(F.Town),0.9046
"12.89182,77.56688",12.891819,77.566882,45,90,0,27,K.S. Layout,0.9048
"13.0433,77.50461",13.043301,77.504613,45,90,0,27,Peenya,0.905
"13.00939,77.69142",13.009387,77.691421,45,90,0,25,K.R. Pura,0.9052
"12.90538,77.54612",12.905385,77.546125,34,89,21,14,K.S. Layout,0.9053
"12.95965,77.58764",12.959647,77.587638,43,89,3,27,Halasuru Gate,0.9055
"12.96643,77.56688",12.96643,77.566882,42,89,5,21,Chamarajpet,0.9057
"12.9393,77.6084",12.939299,77.608395,44,89,1,26,Adugodi,0.9058
"12.98904,77.60378",12.989039,77.603782,39,89,11,22,Shivajinagar,0.906
"12.95739,77.56919",12.957386,77.569188,44,89,1,14,V.V.Puram (C.Pet),0.9062
"12.96869,77.58994",12.968691,77.589945,44,88,0,20,Halasuru Gate,0.9064
"12.94382,77.69834",12.94382,77.698339,31,88,26,7,HAL Old Airport,0.9065
"13.00939,77.50461",13.009387,77.504613,44,88,0,21,Peenya,0.9067
"12.98678,77.6084",12.986778,77.608395,43,88,2,13,Pulikeshinagar(F.Town),0.9068
"12.96191,77.58994",12.961908,77.589945,43,88,2,22,Halasuru Gate,0.907
"12.96643,77.54612",12.96643,77.546125,44,88,0,25,Magadi Road,0.9072
"12.95965,77.60148",12.959647,77.601476,44,88,0,17,Ashok Nagar,0.9074
"12.93252,77.63146",12.932516,77.631458,44,88,0,18,Adugodi,0.9076
"12.94834,77.57841",12.948342,77.578413,43,88,2,14,City Market,0.9077
"13.02069,77.58303",13.020692,77.583026,37,87,13,17,R.T. Nagar,0.9079
"13.06817,77.62454",13.068172,77.624539,43,87,1,9,Hennuru,0.9081
"12.95512,77.58072",12.955125,77.58072,40,87,7,12,City Market,0.9082
"13.01843,77.5369",13.018431,77.5369,43,87,1,13,Rajajinagar,0.9084
"13.02521,77.7191",13.025214,77.719096,43,87,1,23,K.R. Pura,0.9086
"12.97547,77.62454",12.975473,77.624539,32,87,23,11,Halasur,0.9087
"12.96643,77.54151",12.96643,77.541513,43,86,0,5,Vijayanagara,0.9089
"12.98678,77.59225",12.986778,77.592251,43,86,0,28,High ground,0.9091
"12.97095,77.59917",12.970952,77.59917,43,86,0,25,Cubbon Park,0.9092
"13.07043,77.63376",13.070432,77.633764,37,85,11,15,Hennuru,0.9094
"12.94382,77.52768",12.94382,77.527675,36,85,13,24,Byatarayanapura,0.9095
"12.88278,77.75138",12.882775,77.751384,37,84,10,21,No Police Station,0.9097
"12.94608,77.56919",12.946081,77.569188,42,84,0,19,Basavanagudi,0.9099
"12.99808,77.52306",12.998083,77.523063,33,84,18,13,Peenya,0.91
"12.81721,77.68681",12.817208,77.686808,37,84,10,21,Electronic City,0.9102
"12.89408,77.63607",12.89408,77.63607,42,84,0,20,HSR Layout,0.9103
"12.96869,77.58072",12.968691,77.58072,42,84,0,25,Halasuru Gate,0.9105
"12.9913,77.6107",12.9913,77.610701,42,84,0,10,Pulikeshinagar(F.Town),0.9107
"12.90991,77.47924",12.909906,77.479244,36,83,11,21,Kengeri,0.9108
"12.97547,77.54843",12.975473,77.548432,41,83,1,25,Magadi Road,0.911
"12.93704,77.60148",12.937038,77.601476,39,83,5,20,Adugodi,0.9112
"12.95286,77.58072",12.952864,77.58072,34,83,15,10,City Market,0.9113
"13.00034,77.63146",13.000344,77.631458,41,83,1,12,Banaswadi,0.9115
"13.05461,77.53459",13.054606,77.534594,41,83,1,25,Jalahalli,0.9116
"12.94382,77.52537",12.94382,77.525369,39,83,5,8,Byatarayanapura,0.9118
"12.96643,77.74908",12.96643,77.749077,32,83,19,16,Whitefield,0.9119
"12.97321,77.50692",12.973213,77.506919,41,82,0,25,Jnanabharathi,0.9121
"12.92347,77.63376",12.923472,77.633764,41,82,0,16,Adugodi,0.9123
"12.93704,77.69142",12.937038,77.691421,37,82,8,15,HAL Old Airport,0.9124
"12.96191,77.55766",12.961908,77.557657,35,82,12,21,Magadi Road,0.9126
"12.97773,77.60378",12.977734,77.603782,40,82,2,21,Shivajinagar,0.9127
"13.01617,77.54843",13.01617,77.548432,40,82,2,23,Rajajinagar,0.9129
"12.99808,77.67758",12.998083,77.677583,31,82,20,17,Mahadevapura,0.913
"12.99582,77.55996",12.995822,77.559963,40,81,1,17,Malleshwaram,0.9132
"13.00939,77.54151",13.009387,77.541513,39,81,3,20,Rajajinagar,0.9133
"12.92573,77.61531",12.925733,77.615314,39,81,3,23,Madiwala,0.9135
"12.95512,77.56688",12.955125,77.566882,36,80,8,23,V.V.Puram (C.Pet),0.9136
"12.88051,77.6453",12.880514,77.645295,40,80,0,17,Electronic City,0.9138
"12.84886,77.65683",12.848861,77.656827,40,80,0,4,Electronic City,0.914
"12.87373,77.67066",12.873732,77.670664,35,80,10,16,Electronic City,0.9141
"12.96869,77.56688",12.968691,77.566882,34,80,12,17,Chamarajpet,0.9143
"12.90538,77.69373",12.905385,77.693727,40,80,0,13,Bellandur,0.9144
"12.92347,77.5738",12.923472,77.573801,40,80,0,4,Banashankari,0.9146
"12.91669,77.5",12.916689,77.5,40,80,0,7,Kengeri,0.9148
"12.9913,77.66375",12.9913,77.663745,40,80,0,7,Banaswadi,0.9149
"12.95286,77.57149",12.952864,77.571494,40,80,0,12,V.V.Puram (C.Pet),0.9151
"12.98,77.69373",12.979995,77.693727,30,79,19,13,Mahadevapura,0.9152
"13.01391,77.52768",13.013909,77.527675,29,79,21,5,Rajajinagar,0.9153
"12.98452,77.70756",12.984517,77.707565,33,79,13,11,Mahadevapura,0.9155
"12.94382,77.58533",12.94382,77.585332,36,79,7,8,Wilson Garden,0.9156
"12.92121,77.6084",12.921211,77.608395,28,79,23,14,Mico Layout,0.9157
"12.99808,77.69142",12.998083,77.691421,39,78,0,1,Mahadevapura,0.9159
"12.91217,77.57149",12.912167,77.571494,39,78,0,19,K.S. Layout,0.916
"12.97095,77.6476",12.970952,77.647601,30,78,18,14,Jeevanbheemanagar,0.9162
"12.91217,77.63838",12.912167,77.638376,39,78,0,8,HSR Layout,0.9163
"12.98904,77.6107",12.989039,77.610701,39,78,0,5,Pulikeshinagar(F.Town),0.9165
"12.97321,77.61762",12.973213,77.61762,37,78,4,20,Halasur,0.9166
"12.93026,77.59225",12.930255,77.592251,39,78,0,8,Jayanagara,0.9168
"12.95965,77.57841",12.959647,77.578413,39,78,0,8,City Market,0.917
"12.97773,77.54843",12.977734,77.548432,39,78,0,24,Magadi Road,0.9171
"13.00713,77.56688",13.007126,77.566882,39,78,0,14,Malleshwaram,0.9173
"13.01391,77.54843",13.013909,77.548432,38,77,1,23,Rajajinagar,0.9174
"12.97547,77.55074",12.975473,77.550738,38,77,1,25,Magadi Road,0.9176
"12.95739,77.57149",12.957386,77.571494,36,77,5,12,V.V.Puram (C.Pet),0.9177
"13.05461,77.76292",13.054606,77.762915,34,77,9,3,K.R. Pura,0.9179
"13.032,77.62684",13.031997,77.626845,38,77,1,7,K.G. Halli,0.918
"12.96643,77.58303",12.96643,77.583026,38,76,0,13,Halasuru Gate,0.9182
"13.00034,77.756",13.000344,77.755996,38,76,0,12,Mahadevapura,0.9183
"12.87147,77.59225",12.871471,77.592251,38,76,0,7,Hulimavu,0.9185
"12.97321,77.58303",12.973213,77.583026,38,76,0,14,Halasuru Gate,0.9187
"12.91895,77.59917",12.91895,77.59917,37,76,2,14,Mico Layout,0.9188
"12.99808,77.67066",12.998083,77.670664,33,76,10,21,Banaswadi,0.9189
"12.85564,77.58764",12.855644,77.587638,38,76,0,18,Hulimavu,0.9191
"13.0026,77.59225",13.002605,77.592251,35,75,5,11,R.T. Nagar,0.9192
"12.94834,77.53459",12.948342,77.534594,29,75,17,14,Byatarayanapura,0.9194
"12.98226,77.5738",12.982256,77.573801,34,75,7,23,High ground,0.9195
"12.9393,77.61993",12.939299,77.619926,37,75,1,9,Adugodi,0.9197
"12.90765,77.62684",12.907646,77.626845,37,75,1,8,HSR Layout,0.9198
"12.92799,77.63146",12.927994,77.631458,36,74,2,14,Adugodi,0.92
"13.06817,77.52998",13.068172,77.529982,37,74,0,13,Jalahalli,0.9201
"13.01843,77.55304",13.018431,77.553044,33,74,8,18,Yeshwanthpura,0.9202
"12.97547,77.55304",12.975473,77.553044,37,74,0,22,Magadi Road,0.9204
"12.90312,77.67528",12.903124,77.675277,36,74,2,17,Bellandur,0.9205
"12.97321,77.54151",12.973213,77.541513,37,74,0,12,Vijayanagara,0.9207
"12.95965,77.57149",12.959647,77.571494,35,74,4,12,V.V.Puram (C.Pet),0.9208
"13.09756,77.58303",13.097564,77.583026,37,74,0,7,Yelahanka,0.921
"12.88956,77.63607",12.889558,77.63607,37,74,0,21,Hulimavu,0.9211
"12.9913,77.60609",12.9913,77.606089,31,73,11,15,Pulikeshinagar(F.Town),0.9213
"12.98226,77.55766",12.982256,77.557657,36,73,1,17,Rajajinagar,0.9214
"13.03426,77.73293",13.034258,77.732934,33,73,7,9,K.R. Pura,0.9216
"13.05687,77.46541",13.056867,77.465406,35,73,3,16,No Police Station,0.9217
"12.99808,77.48847",12.998083,77.488469,36,73,1,8,Kamakshipalya,0.9219
"12.98904,77.68681",12.989039,77.686808,29,73,15,3,Mahadevapura,0.922
"12.87825,77.54382",12.878253,77.543819,36,73,1,23,Thalagattapura,0.9221
"12.94608,77.52306",12.946081,77.523063,27,73,19,11,Byatarayanapura,0.9222
"12.98452,77.47924",12.984517,77.479244,36,73,1,10,Kamakshipalya,0.9224
"13.04782,77.5738",13.047823,77.573801,36,72,0,21,Kodigehalli,0.9225
"12.87599,77.59686",12.875993,77.596863,36,72,0,10,Hulimavu,0.9227
"13.032,77.53229",13.031997,77.532288,36,72,0,19,Yeshwanthpura,0.9228
"12.96643,77.58072",12.96643,77.58072,36,72,0,19,Halasuru Gate,0.923
"12.97095,77.53459",12.970952,77.534594,36,72,0,6,Vijayanagara,0.9231
"12.95286,77.54382",12.952864,77.543819,34,72,4,27,Byatarayanapura,0.9233
"12.96869,77.59917",12.968691,77.59917,36,72,0,16,Cubbon Park,0.9234
"12.93704,77.58533",12.937038,77.585332,36,72,0,23,Wilson Garden,0.9236
"13.03652,77.62454",13.036519,77.624539,35,71,1,13,K.G. Halli,0.9237
"12.88278,77.54843",12.882775,77.548432,34,70,2,16,Thalagattapura,0.9238
"13.04104,77.61301",13.04104,77.613007,30,70,10,14,Hebbala,0.924
"12.83756,77.67758",12.837557,77.677583,35,70,0,2,Electronic City,0.9241
"13.00487,77.756",13.004866,77.755996,35,70,0,20,Mahadevapura,0.9242
"12.96191,77.55074",12.961908,77.550738,32,70,6,18,Magadi Road,0.9244
"12.94382,77.57841",12.94382,77.578413,35,70,0,7,Basavanagudi,0.9245
"12.87599,77.54382",12.875993,77.543819,34,70,2,18,Thalagattapura,0.9247
"13.01843,77.70756",13.018431,77.707565,35,70,0,18,K.R. Pura,0.9248
"12.93252,77.62223",12.932516,77.622232,35,70,0,16,Adugodi,0.9249
"13.0026,77.70987",13.002605,77.709871,33,69,3,16,K.R. Pura,0.9251
"12.97321,77.60148",12.973213,77.601476,34,69,1,14,Cubbon Park,0.9252
"12.91217,77.47924",12.912167,77.479244,32,69,5,17,Kengeri,0.9254
"13.05913,77.46079",13.059128,77.460793,33,68,2,11,No Police Station,0.9255
"12.90312,77.62915",12.903124,77.629151,34,68,0,20,HSR Layout,0.9256
"12.99808,77.62223",12.998083,77.622232,34,68,0,7,Pulikeshinagar(F.Town),0.9258
"12.96191,77.55535",12.961908,77.555351,32,68,4,21,Magadi Road,0.9259
"13.12017,77.61301",13.120173,77.613007,33,68,2,11,Yelahanka,0.926
"13.00713,77.61993",13.007126,77.619926,34,68,0,4,K.G. Halli,0.9262
"13.02974,77.62223",13.029736,77.622232,33,67,1,3,K.G. Halli,0.9263
"12.95739,77.55766",12.957386,77.557657,25,67,17,7,Chamarajpet,0.9264
"13.01617,77.55535",13.01617,77.555351,29,67,9,19,Yeshwanthpura,0.9265
"12.98226,77.63838",12.982256,77.638376,28,66,10,11,Jeevanbheemanagar,0.9267
"12.96869,77.54612",12.968691,77.546125,33,66,0,15,Vijayanagara,0.9268
"12.9913,77.71679",12.9913,77.71679,31,66,4,11,Mahadevapura,0.9269
"12.99808,77.59686",12.998083,77.596863,33,66,0,2,R.T. Nagar,0.927
"12.90991,77.6822",12.909906,77.682196,33,66,0,23,Bellandur,0.9272
"12.93704,77.74447",12.937038,77.744465,25,65,15,15,Whitefield,0.9273
"12.9506,77.59456",12.950603,77.594557,32,65,1,15,Wilson Garden,0.9274
"12.99582,77.58072",12.995822,77.58072,29,65,7,15,Sheshadripuram,0.9275
"12.87373,77.53921",12.873732,77.539207,29,65,7,16,Thalagattapura,0.9277
"12.94156,77.61993",12.941559,77.619926,32,65,1,13,Adugodi,0.9278
"12.91669,77.66836",12.916689,77.668358,32,65,1,19,Bellandur,0.9279
"12.99356,77.65221",12.993561,77.652214,23,64,18,7,Banaswadi,0.928
"12.90991,77.57611",12.909906,77.576107,31,64,2,14,J.P. Nagar,0.9281
"12.92573,77.61993",12.925733,77.619926,32,64,0,21,Madiwala,0.9283
"12.99808,77.54612",12.998083,77.546125,32,64,0,10,Rajajinagar,0.9284
"13.06365,77.64991",13.06365,77.649908,30,64,4,6,Hennuru,0.9285
"12.86017,77.52768",12.860166,77.527675,29,64,6,12,Thalagattapura,0.9286
"12.9913,77.59456",12.9913,77.594557,32,64,0,15,High ground,0.9288
"12.9393,77.62454",12.939299,77.624539,32,64,0,13,Adugodi,0.9289
"12.82173,77.6845",12.82173,77.684502,24,64,16,5,Electronic City,0.929
"12.97547,77.56227",12.975473,77.562269,30,63,3,19,Magadi Road,0.9291
"12.93026,77.61301",12.930255,77.613007,31,63,1,23,Adugodi,0.9293
"12.93704,77.55535",12.937038,77.555351,28,63,7,6,Basavanagudi,0.9294
"13.00487,77.52768",13.004866,77.527675,23,63,17,12,Rajajinagar,0.9295
"12.96869,77.57149",12.968691,77.571494,27,63,9,6,Chamarajpet,0.9296
"12.9913,77.60378",12.9913,77.603782,31,63,1,16,Pulikeshinagar(F.Town),0.9297
"13.00487,77.58072",13.004866,77.58072,29,63,5,11,Sadashivanagar,0.9298
"13.00487,77.56458",13.004866,77.564576,31,63,1,7,Malleshwaram,0.93
"12.95739,77.55535",12.957386,77.555351,24,62,14,15,Chamarajpet,0.9301
"13.05461,77.59225",13.054606,77.592251,31,62,0,11,Hebbala,0.9302
"13.01843,77.58303",13.018431,77.583026,28,62,6,11,R.T. Nagar,0.9303
"12.90538,77.63838",12.905385,77.638376,31,62,0,18,HSR Layout,0.9304
"12.96869,77.58303",12.968691,77.583026,29,61,3,18,Halasuru Gate,0.9305
"12.97547,77.61301",12.975473,77.613007,30,61,1,19,Halasur,0.9307
"12.96191,77.54843",12.961908,77.548432,30,61,1,22,Magadi Road,0.9308
"12.94156,77.52537",12.941559,77.525369,28,61,5,15,Byatarayanapura,0.9309
"12.95512,77.51614",12.955125,77.516144,27,61,7,9,Byatarayanapura,0.931
"12.97773,77.62915",12.977734,77.629151,22,61,17,6,Halasur,0.9311
"13.02748,77.55996",13.027475,77.559963,26,61,9,13,Yeshwanthpura,0.9312
"12.85338,77.66144",12.853383,77.661439,30,60,0,5,Electronic City,0.9313
"12.97321,77.57149",12.973213,77.571494,29,60,2,12,Upparpet,0.9315
"12.9393,77.57611",12.939299,77.576107,30,60,0,9,Basavanagudi,0.9316
"13.00713,77.7583",13.007126,77.758303,30,60,0,9,Mahadevapura,0.9317
"13.02748,77.58072",13.027475,77.58072,30,60,0,4,Kodigehalli,0.9318
"12.95286,77.57841",12.952864,77.578413,30,60,0,14,City Market,0.9319
"12.93704,77.74677",12.937038,77.746771,24,60,12,18,Whitefield,0.932
"12.8353,77.67758",12.835296,77.677583,30,60,0,21,Electronic City,0.9322
"13.12017,77.6107",13.120173,77.610701,30,60,0,16,Yelahanka,0.9323
"12.95965,77.55766",12.959647,77.557657,24,60,12,10,Chamarajpet,0.9324
"12.9506,77.5369",12.950603,77.5369,22,59,15,17,Byatarayanapura,0.9325
"12.90991,77.58764",12.909906,77.587638,28,59,3,12,J.P. Nagar,0.9326
"12.94156,77.58303",12.941559,77.583026,28,59,3,17,Wilson Garden,0.9327
"12.89634,77.67528",12.896341,77.675277,29,59,1,15,Bellandur,0.9328
"12.96643,77.58994",12.96643,77.589945,25,59,9,9,Halasuru Gate,0.9329
"12.98,77.64068",12.979995,77.640683,22,59,15,6,Jeevanbheemanagar,0.933
"12.91669,77.58533",12.916689,77.585332,27,59,5,18,Jayanagara,0.9331
"13.04556,77.62684",13.045562,77.626845,29,58,0,5,Hennuru,0.9333
"13.18348,77.68911",13.183479,77.689114,29,58,0,10,Chikkajala,0.9334
"12.89182,77.59686",12.891819,77.596863,29,58,0,16,J.P. Nagar,0.9335
"12.99356,77.71679",12.993561,77.71679,27,58,4,18,Mahadevapura,0.9336
"12.92347,77.58303",12.923472,77.583026,29,58,0,13,Jayanagara,0.9337
"12.91443,77.61531",12.914428,77.615314,29,58,0,5,Mico Layout,0.9338
"12.97773,77.69603",12.977734,77.696033,29,58,0,15,Mahadevapura,0.934
"12.96417,77.59686",12.964169,77.596863,28,57,1,18,Ashok Nagar,0.9341
"13.01843,77.65452",13.018431,77.65452,28,57,1,20,Banaswadi,0.9342
"12.97095,77.6084",12.970952,77.608395,28,57,1,18,Ashok Nagar,0.9343
"12.94834,77.60378",12.948342,77.603782,28,57,1,11,Adugodi,0.9344
"12.95739,77.65221",12.957386,77.652214,25,57,7,15,Jeevanbheemanagar,0.9345
"12.97773,77.53921",12.977734,77.539207,28,56,0,15,Magadi Road,0.9346
"12.93704,77.52076",12.937038,77.520756,27,56,2,14,Byatarayanapura,0.9348
"13.12017,77.6084",13.120173,77.608395,28,56,0,9,Yelahanka,0.9349
"12.90312,77.62454",12.903124,77.624539,28,56,0,11,Madiwala,0.935
"12.97321,77.69603",12.973213,77.696033,22,56,12,8,Mahadevapura,0.9351
"12.90991,77.58303",12.909906,77.583026,28,56,0,8,J.P. Nagar,0.9352
"13.02069,77.65683",13.020692,77.656827,28,56,0,13,Hennuru,0.9353
"12.98904,77.50461",12.989039,77.504613,28,56,0,18,Kamakshipalya,0.9354
"13.04782,77.54612",13.047823,77.546125,23,56,10,8,Jalahalli,0.9355
"13.02069,77.55074",13.020692,77.550738,23,56,10,13,Yeshwanthpura,0.9356
"13.00713,77.59225",13.007126,77.592251,28,56,0,12,R.T. Nagar,0.9357
"12.96191,77.5738",12.961908,77.573801,28,56,0,15,V.V.Puram (C.Pet),0.9358
"12.93026,77.62223",12.930255,77.622232,28,56,0,8,Adugodi,0.936
"13.11791,77.6084",13.117912,77.608395,28,56,0,7,Yelahanka,0.9361
"12.95965,77.73063",12.959647,77.730627,25,55,5,3,Whitefield,0.9362
"12.93026,77.57841",12.930255,77.578413,25,55,5,8,Jayanagara,0.9363
"12.99582,77.55304",12.995822,77.553044,27,55,1,10,Rajajinagar,0.9364
"13.03426,77.56688",13.034258,77.566882,26,55,3,18,Sadashivanagar,0.9365
"12.99808,77.58303",12.998083,77.583026,26,55,3,8,Sadashivanagar,0.9366
"12.9913,77.71448",12.9913,77.714483,25,54,4,15,Mahadevapura,0.9367
"12.91443,77.63146",12.914428,77.631458,27,54,0,10,HSR Layout,0.9368
"12.95512,77.65221",12.955125,77.652214,21,54,12,7,Jeevanbheemanagar,0.9369
"12.98,77.70756",12.979995,77.707565,27,54,0,3,Mahadevapura,0.937
"12.9913,77.56688",12.9913,77.566882,26,54,2,6,Sheshadripuram,0.9371
"12.92121,77.57841",12.921211,77.578413,27,54,0,9,Jayanagara,0.9372
"12.95739,77.59225",12.957386,77.592251,27,54,0,17,Wilson Garden,0.9373
"12.96643,77.71218",12.96643,77.712177,27,54,0,9,HAL Old Airport,0.9374
"12.97773,77.64299",12.977734,77.642989,27,54,0,9,Jeevanbheemanagar,0.9376
"12.97547,77.70987",12.975473,77.709871,27,54,0,11,HAL Old Airport,0.9377
"12.90991,77.54843",12.909906,77.548432,19,54,16,15,K.S. Layout,0.9377
"12.95739,77.65683",12.957386,77.656827,25,53,3,12,Jeevanbheemanagar,0.9379
"12.98,77.6453",12.979995,77.645295,26,53,1,7,Jeevanbheemanagar,0.938
"13.04782,77.54151",13.047823,77.541513,23,53,7,13,Jalahalli,0.9381
"12.9393,77.61762",12.939299,77.61762,22,53,9,5,Adugodi,0.9381
"12.87373,77.54151",12.873732,77.541513,24,53,5,14,Thalagattapura,0.9382
"12.97321,77.59917",12.973213,77.59917,26,53,1,17,Cubbon Park,0.9383
"12.98,77.59456",12.979995,77.594557,26,53,1,12,Cubbon Park,0.9385
"12.96643,77.60609",12.96643,77.606089,25,53,3,16,Ashok Nagar,0.9386
"12.87373,77.66836",12.873732,77.668358,24,52,4,7,Electronic City,0.9387
"13.06817,77.58303",13.068172,77.583026,26,52,0,5,Kodigehalli,0.9388
"13.06817,77.52768",13.068172,77.527675,26,52,0,6,Jalahalli,0.9389
"12.92347,77.67066",12.923472,77.670664,26,52,0,13,Bellandur,0.939
"13.00034,77.56688",13.000344,77.566882,26,52,0,5,Malleshwaram,0.9391
"12.93252,77.69603",12.932516,77.696033,21,52,10,6,HAL Old Airport,0.9392
"13.02295,77.54612",13.022953,77.546125,21,52,10,7,Yeshwanthpura,0.9393
"13.00487,77.6822",13.004866,77.682196,26,52,0,12,K.R. Pura,0.9394
"13.04556,77.50692",13.045562,77.506919,25,52,2,19,Chikkabanavara,0.9395
"12.98452,77.58072",12.984517,77.58072,25,52,2,13,High ground,0.9396
"13.00034,77.61993",13.000344,77.619926,26,52,0,7,Pulikeshinagar(F.Town),0.9397
"13.11565,77.57611",13.115651,77.576107,26,52,0,8,Yelahanka,0.9398
"12.98452,77.51845",12.984517,77.51845,26,52,0,7,Kamakshipalya,0.9399
"12.94608,77.56688",12.946081,77.566882,26,52,0,14,Basavanagudi,0.94
"13.00034,77.61531",13.000344,77.615314,26,52,0,17,Pulikeshinagar(F.Town),0.9401
"13.032,77.56227",13.031997,77.562269,26,52,0,3,Yeshwanthpura,0.9402
"12.97321,77.55996",12.973213,77.559963,26,52,0,15,Magadi Road,0.9403
"12.99808,77.6845",12.998083,77.684502,22,51,7,16,Mahadevapura,0.9404
"12.95965,77.53229",12.959647,77.532288,24,51,3,6,Vijayanagara,0.9405
"12.96869,77.60378",12.968691,77.603782,21,51,9,8,Ashok Nagar,0.9406
"12.98678,77.70987",12.986778,77.709871,24,51,3,7,Mahadevapura,0.9407
"13.04556,77.54151",13.045562,77.541513,19,51,13,13,Jalahalli,0.9408
"13.03652,77.56458",13.036519,77.564576,25,51,1,15,Kodigehalli,0.9409
"13.04556,77.52076",13.045562,77.520756,25,51,1,16,Jalahalli,0.941
"13.05008,77.48616",13.050084,77.486162,25,51,1,16,No Police Station,0.9411
"12.93704,77.62454",12.937038,77.624539,25,50,0,12,Adugodi,0.9412
"13.05687,77.47232",13.056867,77.472325,24,50,2,9,No Police Station,0.9413
"12.98,77.63838",12.979995,77.638376,19,50,12,8,Jeevanbheemanagar,0.9414
"12.94608,77.52998",12.946081,77.529982,18,50,14,7,Byatarayanapura,0.9414
"12.87599,77.61531",12.875993,77.615314,25,50,0,18,Hulimavu,0.9415
"13.04782,77.62915",13.047823,77.629151,25,50,0,4,Hennuru,0.9416
"12.98226,77.64068",12.982256,77.640683,23,50,4,3,Jeevanbheemanagar,0.9417
"13.02069,77.52768",13.020692,77.527675,25,50,0,16,Yeshwanthpura,0.9418
"12.93704,77.49078",12.937038,77.490775,25,50,0,9,Jnanabharathi,0.9419
"13.02521,77.62684",13.025214,77.626845,21,50,8,8,K.G. Halli,0.942
"12.92121,77.66375",12.921211,77.663745,25,50,0,13,Bellandur,0.9421
"12.87147,77.5369",12.871471,77.5369,23,49,3,11,Thalagattapura,0.9422
"12.97321,77.56227",12.973213,77.562269,24,49,1,10,Magadi Road,0.9423
"13.03426,77.51384",13.034258,77.513838,24,49,1,6,Peenya,0.9424
"12.98226,77.67758",12.982256,77.677583,17,49,15,5,Banaswadi,0.9425
"13.03652,77.53459",13.036519,77.534594,24,49,1,9,Jalahalli,0.9426
"12.94834,77.52306",12.948342,77.523063,20,49,9,6,Byatarayanapura,0.9427
"12.86921,77.5369",12.86921,77.5369,23,49,3,11,Thalagattapura,0.9428
"12.92347,77.64991",12.923472,77.649908,24,49,1,10,HSR Layout,0.9429
"12.92121,77.61762",12.921211,77.61762,23,49,3,10,Madiwala,0.943
"13.12017,77.61762",13.120173,77.61762,24,49,1,6,Yelahanka,0.9431
"12.93704,77.61762",12.937038,77.61762,22,49,5,12,Adugodi,0.9431
"12.95965,77.55535",12.959647,77.555351,23,49,3,12,Chamarajpet,0.9432
"13.12017,77.61531",13.120173,77.615314,24,48,0,9,Yelahanka,0.9433
"12.97095,77.56458",12.970952,77.564576,22,48,4,6,Magadi Road,0.9434
"12.90765,77.67528",12.907646,77.675277,23,48,2,8,Bellandur,0.9435
"12.95965,77.74677",12.959647,77.746771,21,48,6,16,Whitefield,0.9436
"12.96643,77.60148",12.96643,77.601476,18,48,12,8,Ashok Nagar,0.9437
"13.05008,77.50692",13.050084,77.506919,24,48,0,13,Chikkabanavara,0.9438
"12.91217,77.66605",12.912167,77.666052,24,48,0,14,Bellandur,0.9439
"12.94834,77.5738",12.948342,77.573801,24,48,0,9,V.V.Puram (C.Pet),0.944
"12.95512,77.57149",12.955125,77.571494,24,48,0,10,V.V.Puram (C.Pet),0.9441
"13.01165,77.69834",13.011648,77.698339,21,48,6,12,K.R. Pura,0.9442
"12.95965,77.56919",12.959647,77.569188,24,48,0,14,V.V.Puram (C.Pet),0.9443
"12.95512,77.70987",12.955125,77.709871,23,48,2,10,HAL Old Airport,0.9444
"13.01843,77.53921",13.018431,77.539207,24,48,0,16,Rajajinagar,0.9445
"13.00713,77.56227",13.007126,77.562269,22,48,4,8,Malleshwaram,0.9445
"12.91895,77.54151",12.91895,77.541513,19,48,10,12,Banashankari,0.9446
"13.00713,77.756",13.007126,77.755996,24,48,0,12,Mahadevapura,0.9447
"12.96417,77.71448",12.964169,77.714483,24,48,0,2,HAL Old Airport,0.9448
"12.90538,77.53229",12.905385,77.532288,17,48,14,11,K.S. Layout,0.9449
"12.92121,77.58303",12.921211,77.583026,24,48,0,14,Jayanagara,0.945
"12.90086,77.70756",12.900863,77.707565,24,48,0,14,Whitefield,0.9451
"12.98226,77.58072",12.982256,77.58072,23,48,2,9,High ground,0.9452
"12.98678,77.58072",12.986778,77.58072,23,48,2,7,High ground,0.9453
"12.87825,77.6453",12.878253,77.645295,24,48,0,8,Hulimavu,0.9454
"13.06591,77.57841",13.065911,77.578413,23,47,1,6,Kodigehalli,0.9455
"12.94156,77.56227",12.941559,77.562269,23,47,1,4,Basavanagudi,0.9456
"12.98452,77.57149",12.984517,77.571494,23,47,1,17,Sheshadripuram,0.9457
"12.94156,77.58533",12.941559,77.585332,21,47,5,6,Wilson Garden,0.9457
"13.06591,77.62915",13.065911,77.629151,19,47,9,12,Hennuru,0.9458
"12.93026,77.68911",12.930255,77.689114,23,47,1,9,HAL Old Airport,0.9459
"12.97547,77.54612",12.975473,77.546125,23,47,1,13,Vijayanagara,0.946
"13.02069,77.52998",13.020692,77.529982,19,47,9,15,Rajajinagar,0.9461
"12.90991,77.62684",12.909906,77.626845,23,47,1,13,HSR Layout,0.9462
"12.86243,77.52998",12.862427,77.529982,23,46,0,9,Thalagattapura,0.9463
